ID,Count
18288,561.4537200425028
18289,439.1912921183071
18290,377.7246057812506
18291,308.0331477794638
18292,264.48534048242783
18293,242.03001126349156
18294,257.97844060734815
18295,311.1520776663536
18296,339.77663648554835
18297,437.3218040680032
18298,628.8645562465512
18299,669.3886458450984
18300,648.0499556677805
18301,563.5639746824168
18302,586.3850119331062
18303,589.1946198716031
18304,591.3870783605569
18305,604.8649464491272
18306,634.6579481141625
18307,695.8494829539785
18308,657.6169893983033
18309,620.2098279726752
18310,617.4228194126058
18311,621.9624362267807
18312,563.8913400289605
18313,441.09774994231213
18314,379.3639502318073
18315,309.369785963049
18316,265.63280562234434
18317,243.0798645583707
18318,259.0972711708295
18319,312.5012739666803
18320,341.24968649564954
18321,439.2174039190436
18322,631.5899184166669
18323,672.2891068544319
18324,650.8574492627822
18325,566.0050159711863
18326,588.9244427766113
18327,591.7457578187766
18328,593.947247491163
18329,607.4829902723359
18330,637.404450003662
18331,698.8602502192466
18332,660.4618213238458
18333,622.8923540862958
18334,620.0928100053925
18335,624.6515734535346
18336,566.328960015418
18337,443.00420776631717
18338,381.00329468236396
18339,310.7064241466343
18340,266.78027076226084
18341,244.12971785324982
18342,260.21610173431094
18343,313.850470267007
18344,342.72273650575073
18345,441.113003770084
18346,634.3152805867828
18347,675.1895678637655
18348,653.664942857784
18349,568.4460572599558
18350,591.4638736201164
18351,594.2968957659501
18352,596.5074166217692
18353,610.1010340955447
18354,640.1509518931614
18355,701.8710174845147
18356,663.3066532493883
18357,625.5748801999164
18358,622.7628005981792
18359,627.3407106802885
18360,568.7665800018756
18361,444.91066559032214
18362,382.6426391329206
18363,312.0430623302195
18364,267.9277359021773
18365,245.17957114812896
18366,261.33493229779236
18367,315.1996665673337
18368,344.19578651585186
18369,443.0086036211244
18370,637.0406427568986
18371,678.0900288730991
18372,656.4724364527857
18373,570.8870985487252
18374,594.0033044636215
18375,596.8480337131235
18376,599.0675857523753
18377,612.7190779187534
18378,642.8974537826608
18379,704.8817847497828
18380,666.1514851749308
18381,628.257406313537
18382,625.4327911909659
18383,630.0298479070424
18384,571.2041999883332
18385,446.81712341432717
18386,384.28198358347726
18387,313.3797005138048
18388,269.0752010420938
18389,246.22942444300807
18390,262.45376286127373
18391,316.5488628676603
18392,345.66883652595305
18393,444.9042034721648
18394,639.7660049270144
18395,680.9904898824327
18396,659.2799300477874
18397,573.3281398374947
18398,596.5427353071266
18399,599.399171660297
18400,601.6277548829814
18401,615.3371217419623
18402,645.6439556721602
18403,707.892552015051
18404,668.9963171004733
18405,630.9399324271576
18406,628.1027817837526
18407,632.7189851337963
18408,573.6418199747908
18409,448.7235812383322
18410,385.92132803403393
18411,314.71633869739003
18412,270.22266618201024
18413,247.2792777378872
18414,263.57259342475515
18415,317.898059167987
18416,347.14188653605424
18417,446.79980332320514
18418,642.4913670971301
18419,683.8909508917662
18420,662.0874236427891
18421,575.7691811262642
18422,599.0821661506317
18423,601.9503096074706
18424,604.1879240135876
18425,617.955165565171
18426,648.3904575616598
18427,710.9033192803191
18428,671.8411490260158
18429,633.6224585407782
18430,630.7727723765393
18431,635.4081223605501
18432,576.0794399612483
18433,450.63003906233723
18434,387.5606724845906
18435,316.0529768809753
18436,271.37013132192675
18437,248.32913103276633
18438,264.6914239882365
18439,319.2472554683137
18440,348.6149365461554
18441,448.69540317424554
18442,645.2167292672459
18443,686.7914119010999
18444,664.8949172377909
18445,578.2102224150337
18446,601.6215969941368
18447,604.5014475546441
18448,606.7480931441937
18449,620.5732093883798
18450,651.1369594511592
18451,713.9140865455872
18452,674.6859809515583
18453,636.3049846543988
18454,633.4427629693259
18455,638.097259587304
18456,578.5170599477059
18457,452.5364968863422
18458,389.2000169351473
18459,317.38961506456053
18460,272.51759646184325
18461,249.37898432764547
18462,265.81025455171795
18463,320.5964517686404
18464,350.08798655625657
18465,450.59100302528594
18466,647.9420914373617
18467,689.6918729104334
18468,667.7024108327926
18469,580.6512637038032
18470,604.1610278376418
18471,607.0525855018175
18472,609.3082622747999
18473,623.1912532115886
18474,653.8834613406586
18475,716.9248538108553
18476,677.530812877101
18477,638.9875107680194
18478,636.1127535621126
18479,640.7863968140579
18480,580.9546799341636
18481,454.44295471034724
18482,390.8393613857039
18483,318.7262532481458
18484,273.66506160175976
18485,250.42883762252464
18486,266.9290851151994
18487,321.9456480689672
18488,351.5610365663579
18489,452.48660287632663
18490,650.667453607478
18491,692.5923339197676
18492,670.5099044277949
18493,583.0923049925733
18494,606.7004586811477
18495,609.6037234489918
18496,611.8684314054069
18497,625.8092970347983
18498,656.6299632301592
18499,719.9356210761248
18500,680.3756448026447
18501,641.6700368816413
18502,638.7827441549007
18503,643.4755340408133
18504,583.3922999206225
18505,456.3494125343534
18506,392.4787058362616
18507,320.0628914317319
18508,274.81252674167695
18509,251.47869091740444
18510,268.04791567868153
18511,323.29484436929476
18512,353.03408657646
18513,454.3822027273682
18514,653.3928157775955
18515,695.4927949291031
18516,673.3173980227984
18517,585.5333462813444
18518,609.2398895246544
18519,612.1548613961669
18520,614.4286005360146
18521,628.4273408580088
18522,659.3764651196603
18523,722.9463883413948
18524,683.220476728189
18525,644.3525629952636
18526,641.4527347476891
18527,646.1646712675688
18528,585.8299199070816
18529,458.25587035835963
18530,394.1180502868193
18531,321.399529615318
18532,275.9599918815942
18533,252.52854421228423
18534,269.16674624216364
18535,324.6440406696223
18536,354.5071365865621
18537,456.2778025784098
18538,656.118177947713
18539,698.3932559384384
18540,676.124891617802
18541,587.9743875701154
18542,611.779320368161
18543,614.705999343342
18544,616.9887696666224
18545,631.0453846812193
18546,662.1229670091616
18547,725.9571556066649
18548,686.0653086537334
18549,647.0350891088859
18550,644.1227253404775
18551,648.8538084943244
18552,588.2675398935407
18553,460.16232818236585
18554,395.757394737377
18555,322.73616779890403
18556,277.1074570215114
18557,253.57839750716403
18558,270.28557680564575
18559,325.99323696994986
18560,355.9801865966642
